Cellulomonas iranensis
Streptomyces subrutilus
Halomonas sp.
Bombilactobacillus bombi
Aeromonas hydrophila
Halomonas piezotolerans
Citrobacter youngae
Streptococcus agalactiae
Mycobacterium lacus
Halomonas chromatireducens
Ottowia sp.
Shewanella benthica
Deinococcus actinosclerus
Flavobacterium columnare
Blattabacterium sp.
Melaminivora jejuensis
Nocardioides anomalus
Streptomyces griseorubiginosus
Lysobacter helvus
Limnochorda pilosa
Pasteurella multocida
Sphingomonas suaedae
Chlamydia muridarum
Mycobacterium bovis
Leclercia adecarboxylata
Mycoplasma alkalescens
Chryseobacterium piperi
Taylorella asinigenitalis
Caproicibacterium lactatifermentans
Bacillus lentus
Propionibacterium acidifaciens
Tropheryma whipplei
Mycoplasma californicum
Actinopolyspora erythraea
Aquihabitans sp.
Draconibacterium halophilum
Streptococcus equi
Aequoribacter fuscus
Paludibacter propionicigenes
Pontibacter korlensis
Herbinix sp.
Acinetobacter bouvetii
Candidatus Planktophila
Borrelia garinii
Pseudomonas cichorii
Rodentibacter heylii
Desulfocurvibacter africanus
Weissella viridescens
Pasteurella dagmatis
Maribacter sp.
Pseudomonas stutzeri
Enterobacteriaceae bacterium
Streptococcus pseudoporcinus
Mycoplasma capricolum
Legionella pneumophila
Thermosipho africanus
Corynebacterium diphtheriae
Stella humosa
Thermoanaerobacterium thermosaccharolyticum
Cytophaga hutchinsonii
Pseudopuniceibacterium antarcticum
Enterococcus faecalis
Neorickettsia findlayensis
Pseudomonas corrugata
Turicibacter sp.
Mycobacterium vicinigordonae
Streptomyces pactum
Pseudomonas qingdaonensis
Pseudomonas sediminis
gamma proteobacterium
Streptomyces rochei
Pseudomonas putida
Alcaligenes ammonioxydans
Solibaculum mannosilyticum
Cellulosilyticum sp.
Kribbella qitaiheensis
Campylobacter mucosalis
Acholeplasma axanthum
Rhodococcus aetherivorans
Polaribacter sp.
Pseudomonas simiae
Chitinophaga oryzae
[Ruminococcus] gnavus
Sabulilitoribacter sp.
Rhodocytophaga rosea
Mycoplasma capricolum
Faecalibacterium prausnitzii
Methyloligella sp.
Streptococcus pneumoniae
Candidatus Hydrogenosomobacter
Polycladomyces abyssicola
Kineobactrum salinum
Gordonia otitidis
Bacteroides thetaiotaomicron
Lysobacter antibioticus
Mesoplasma tabanidae
Ferruginibacter sp.
Caminibacter mediatlanticus
Bacillus glycinifermentans
Flavobacteriaceae bacterium
Arcobacter aquimarinus
Alkalicella caledoniensis
Rhodococcus coprophilus
Lachnospiraceae bacterium
Escherichia coli
Sphingomonas sinipercae
Acidovorax sp.
Haemophilus parasuis
Anaerostipes rhamnosivorans
Colwellia psychrerythraea
Mammaliicoccus fleurettii
Corynebacterium pseudotuberculosis
Salmonella enterica
Mycobacterium tuberculosis
Chlamydia psittaci
Paenibacillus sophorae
Alteromonas mediterranea
Staphylococcus aureus
Dolosigranulum pigrum
Bacillus subtilis
Halobacteroides halobius
Eubacterium siraeum
Thermomonospora curvata
Listeria monocytogenes
Limnoglobus roseus
Glaciecola nitratireducens
Acinetobacter pittii
Desulfurobacterium thermolithotrophum
Bacillus pumilus
Novibacillus thermophilus
Rhodococcus sp.
Thioalkalivibrio sulfidiphilus
Telmatocola sphagniphila
Breoghania sp.
Mixta gaviniae
Yersinia enterocolitica
Methylovorus sp.
Catenulispora acidiphila
[Clostridium] scindens
Microcystis aeruginosa
Metabacillus sp.
Aquimarina sp.
Bifidobacterium animalis
Streptococcus suis
Nocardia asteroides
Alteromonas australica
Sphaerochaeta coccoides
Mucilaginibacter gossypii
Neisseria gonorrhoeae
Mycoplasma ovis
Acidithiobacillus ferrivorans
